img_path,steering,throttle,lwheel,rwheel,speed_signed,lane_offset,timestamp
01230.png,0,20,20.0,20.0,1.2703403667475464,118.5,2025-06-30T20:54:36.886766
01562.png,0,20,20.0,20.0,1.222095390224586,25.274999999999977,2025-06-30T20:55:28.117886
02123.png,0,20,20.0,20.0,1.2188524756773156,-30.833333333333343,2025-06-30T20:56:53.832152
00747.png,0,20,20.0,20.0,1.2217701095903326,13.375,2025-06-30T20:53:20.190346
00622.png,0,20,20.0,20.0,1.2296778776631172,-0.6875,2025-06-30T20:52:59.796256
00703.png,0,20,20.0,20.0,1.2160937162009755,-0.2708333333333144,2025-06-30T20:53:12.907584
00569.png,0,20,20.0,20.0,1.2163441254241607,23.92500000000001,2025-06-30T20:52:51.486455
01551.png,0,20,20.0,20.0,1.2174441755758312,112.5,2025-06-30T20:55:26.478014
00048.png,0,20,20.0,20.0,1.2189447648038385,-17.53671328671328,2025-06-30T20:51:31.699508
01250.png,0,20,20.0,20.0,1.2160093840333177,32.46249999999998,2025-06-30T20:54:40.059476
01508.png,0,20,20.0,20.0,1.2179701876943352,147.0,2025-06-30T20:55:19.901306
00330.png,0,20,20.0,20.0,1.2512710282034694,23.645833333333314,2025-06-30T20:52:15.205088
00457.png,0,20,20.0,20.0,1.3756841111288327,51.0,2025-06-30T20:52:34.665742
01154.png,0,20,20.0,20.0,1.2153306043452998,-1.5625,2025-06-30T20:54:24.881280
01643.png,1,20,35.0,5.0,1.2674070020396888,117.0,2025-06-30T20:55:40.283032
02406.png,0,20,20.0,20.0,1.2176991086782352,-34.72500000000002,2025-06-30T20:57:39.367355
00326.png,0,20,20.0,20.0,1.2885456387365362,15.766666666666708,2025-06-30T20:52:14.592548
02007.png,0,20,20.0,20.0,1.220686986039964,-139.375,2025-06-30T20:56:35.997291
02372.png,0,20,20.0,20.0,1.237590395534531,-101.0,2025-06-30T20:57:33.951979
01615.png,0,20,20.0,20.0,1.2384057551859886,17.11250000000001,2025-06-30T20:55:36.014977
01103.png,0,20,20.0,20.0,1.2196846900555556,107.0,2025-06-30T20:54:17.118740
00672.png,0,20,20.0,20.0,1.2294772205492528,174.0,2025-06-30T20:53:07.758922
01334.png,0,20,20.0,20.0,1.2152496397873784,30.66666666666663,2025-06-30T20:54:53.318800
02022.png,0,20,20.0,20.0,1.2294319819032171,162.83333333333337,2025-06-30T20:56:38.264211
01923.png,0,20,20.0,20.0,1.24716669072613,120.25,2025-06-30T20:56:23.111389
01490.png,0,20,20.0,20.0,1.2198774876709126,-123.83333333333331,2025-06-30T20:55:17.113631
02354.png,0,20,20.0,20.0,1.2161109575338382,-47.375,2025-06-30T20:57:31.097472
01322.png,0,20,20.0,20.0,1.218148541694638,112.79999999999995,2025-06-30T20:54:51.452923
00608.png,0,20,20.0,20.0,1.3067840542153433,39.39999999999998,2025-06-30T20:52:57.528486
01689.png,1,20,35.0,5.0,1.2896025837690983,158.375,2025-06-30T20:55:47.405120
01008.png,0,20,20.0,20.0,1.2187738667727783,-15.0625,2025-06-30T20:54:02.485990
00018.png,0,20,20.0,20.0,1.203763096405137,-7.3125,2025-06-30T20:51:26.468682
01953.png,0,20,20.0,20.0,1.2521575432468843,1.0,2025-06-30T20:56:27.700379
00936.png,0,20,20.0,20.0,1.2173269345953874,-170.5,2025-06-30T20:53:51.228232
00049.png,0,20,20.0,20.0,1.2189454386693812,-21.027597402597397,2025-06-30T20:51:31.868822
02325.png,0,20,20.0,20.0,1.2018724051633136,-64.58333333333334,2025-06-30T20:57:26.482745
01534.png,0,20,20.0,20.0,1.2141525080938125,56.916666666666686,2025-06-30T20:55:23.851438
00664.png,0,20,20.0,20.0,1.3070280393385243,-4.425000000000011,2025-06-30T20:53:06.491976
02147.png,0,20,20.0,20.0,1.2154612568409893,14.983333333333292,2025-06-30T20:56:57.751960
00868.png,0,20,20.0,20.0,1.2629051553604569,54.92500000000001,2025-06-30T20:53:40.384330
01002.png,0,20,20.0,20.0,1.2204412823188668,20.66666666666663,2025-06-30T20:54:01.566198
01161.png,0,20,20.0,20.0,1.215002953102741,-4.516666666666708,2025-06-30T20:54:25.976315
01608.png,1,20,35.0,5.0,1.2746886572774905,46.25,2025-06-30T20:55:34.973982
01167.png,0,20,20.0,20.0,1.2171269072080144,-4.354166666666686,2025-06-30T20:54:26.935182
02016.png,0,20,20.0,20.0,1.2835148630270272,113.16666666666664,2025-06-30T20:56:37.344433
01839.png,1,20,35.0,5.0,1.368977390411011,82.0,2025-06-30T20:56:10.388567
00147.png,0,20,20.0,20.0,1.2144835441665005,0.9333333333333372,2025-06-30T20:51:47.382101
02003.png,0,20,20.0,20.0,1.2143151977161524,10.833333333333314,2025-06-30T20:56:35.369174
00554.png,0,20,20.0,20.0,1.2417808924409193,38.60000000000002,2025-06-30T20:52:49.218447
00779.png,0,20,20.0,20.0,1.2401940571910832,-83.625,2025-06-30T20:53:25.645407
00873.png,0,20,20.0,20.0,1.252319389893495,48.3125,2025-06-30T20:53:41.184549
00338.png,0,20,20.0,20.0,1.2177225405935332,15.362500000000011,2025-06-30T20:52:16.406434
01240.png,0,20,20.0,20.0,1.219724284422451,42.833333333333314,2025-06-30T20:54:38.485618
01312.png,0,20,20.0,20.0,1.219737739128768,-149.58333333333331,2025-06-30T20:54:49.890700
00595.png,0,20,20.0,20.0,1.4250372017700357,89.0,2025-06-30T20:52:55.448639
00811.png,1,20,35.0,5.0,1.2971115966118831,0.0,2025-06-30T20:53:31.074483
00790.png,1,20,35.0,5.0,1.2838726471737083,30.375,2025-06-30T20:53:27.526873
00396.png,0,20,20.0,20.0,1.2858216055260328,164.70000000000005,2025-06-30T20:52:25.276665
01645.png,0,20,20.0,20.0,1.3002131152895042,124.0,2025-06-30T20:55:40.602131
01143.png,0,20,20.0,20.0,1.2124120353026628,-34.083333333333314,2025-06-30T20:54:23.095929
00283.png,1,20,35.0,5.0,1.2523209061256788,50.208333333333314,2025-06-30T20:52:08.029556
02327.png,0,20,20.0,20.0,1.2120545533678004,-62.875,2025-06-30T20:57:26.789307
00628.png,0,20,20.0,20.0,1.246701450867785,175.0,2025-06-30T20:53:00.743530
02133.png,0,20,20.0,20.0,1.2140512871794182,3.0625,2025-06-30T20:56:55.470663
00026.png,0,20,20.0,20.0,1.2178146100406246,-12.399999999999975,2025-06-30T20:51:27.814545
01960.png,0,20,20.0,20.0,1.2521615119132554,-22.17500000000001,2025-06-30T20:56:28.780357
00917.png,0,20,20.0,20.0,1.216265604696696,12.916666666666686,2025-06-30T20:53:48.213742
00174.png,0,20,20.0,20.0,1.2849490992966903,86.25,2025-06-30T20:51:51.450243
01308.png,0,20,20.0,20.0,1.2179246296704664,-144.25,2025-06-30T20:54:49.263805
00359.png,0,20,20.0,20.0,1.3186498236439124,70.0,2025-06-30T20:52:19.568043
00511.png,0,20,20.0,20.0,1.2499355178648668,-0.1999999999999886,2025-06-30T20:52:42.828463
01672.png,0,20,20.0,20.0,1.218080645618949,49.875,2025-06-30T20:55:44.725160
00068.png,0,20,20.0,20.0,1.2174143012398904,0.0,2025-06-30T20:51:35.031027
01428.png,0,20,20.0,20.0,1.2641515888811707,67.625,2025-06-30T20:55:07.723246
02077.png,1,20,35.0,5.0,1.227852598924108,-31.125,2025-06-30T20:56:46.575555
02078.png,0,20,20.0,20.0,1.24066205391338,-43.0,2025-06-30T20:56:46.720885
00799.png,0,20,20.0,20.0,1.2261219104610468,3.1666666666666288,2025-06-30T20:53:29.074403
02367.png,0,20,20.0,20.0,1.2466215798559075,0.0,2025-06-30T20:57:33.178545
01173.png,-1,20,5.0,35.0,1.205086181421258,-12.625,2025-06-30T20:54:27.883777
00203.png,0,20,20.0,20.0,1.219602533594673,-2.1666666666666856,2025-06-30T20:51:55.852421
00982.png,0,20,20.0,20.0,1.2169728255585537,-178.0,2025-06-30T20:53:58.484010
00141.png,0,20,20.0,20.0,1.212074357825931,5.875,2025-06-30T20:51:46.474767
