img_path,steering,throttle,lwheel,rwheel,speed_signed,lane_offset,timestamp
00000.png,0,20,20.0,20.0,1.2205232146223075,116.25,2025-06-30T22:26:03.787067
00001.png,0,20,20.0,20.0,1.2262380028045536,134.875,2025-06-30T22:29:12.191870
00002.png,0,20,20.0,20.0,1.2119874739342198,50.5,2025-06-30T22:26:40.320810
00003.png,0,20,20.0,20.0,1.2828621129628288,-138.16666666666669,2025-06-30T22:27:13.934453
00004.png,0,20,20.0,20.0,1.217451339744312,36.125,2025-06-30T22:26:52.072045
00005.png,0,20,20.0,20.0,1.2262465789561632,28.375,2025-06-30T22:27:25.845358
00006.png,0,20,20.0,20.0,1.2233137697242946,22.9375,2025-06-30T22:24:34.660784
00007.png,0,20,20.0,20.0,1.209067784213941,32.229166666666686,2025-06-30T22:28:16.920065
00008.png,0,20,20.0,20.0,1.271558651172202,176.16666666666663,2025-06-30T22:23:55.486439
00009.png,0,20,20.0,20.0,1.2731438711931693,18.88749999999999,2025-06-30T22:25:00.951185
00010.png,0,20,20.0,20.0,1.2159091206346768,2.75,2025-06-30T22:26:27.291313
00011.png,0,20,20.0,20.0,1.2716016275266575,-146.625,2025-06-30T22:27:21.631440
00012.png,0,20,20.0,20.0,1.199101982139733,-19.0625,2025-06-30T22:28:45.395979
00013.png,0,20,20.0,20.0,1.2206038461607442,0.0,2025-06-30T22:29:06.456258
00014.png,1,20,35.0,5.0,1.2279143184868202,24.625,2025-06-30T22:28:24.814159
00015.png,0,20,20.0,20.0,1.2634071638805162,59.72500000000002,2025-06-30T22:25:08.874015
00016.png,0,20,20.0,20.0,1.2192777335935168,68.5,2025-06-30T22:25:42.913082
00017.png,0,20,20.0,20.0,1.2200231965721582,88.33333333333331,2025-06-30T22:25:43.527776
00018.png,0,20,20.0,20.0,1.3281853887718722,20.75,2025-06-30T22:23:57.154263
00019.png,0,0,0.0,0.0,0.0168609181066336,-6.0625,2025-06-30T22:29:35.801491
00020.png,0,20,20.0,20.0,1.1808669317441705,-7.791666666666686,2025-06-30T22:23:59.927345
00021.png,0,20,20.0,20.0,1.224453867957975,4.5,2025-06-30T22:25:59.932636
00022.png,0,20,20.0,20.0,1.2654208407049532,106.25,2025-06-30T22:26:48.058046
00023.png,0,20,20.0,20.0,1.2184716109445932,-29.875,2025-06-30T22:24:08.250257
00024.png,0,20,20.0,20.0,1.2186851571527082,-15.791666666666686,2025-06-30T22:25:18.971604
00025.png,0,20,20.0,20.0,1.3194203512278695,44.875,2025-06-30T22:25:22.318967
00026.png,0,20,20.0,20.0,1.246038949358334,29.94999999999999,2025-06-30T22:24:13.573661
00027.png,0,20,20.0,20.0,1.1850067946676943,-2.6499999999999773,2025-06-30T22:25:53.890817
00028.png,0,20,20.0,20.0,1.222834410598224,-125.66666666666669,2025-06-30T22:28:30.429039
00029.png,0,20,20.0,20.0,1.2056893391841956,-22.5,2025-06-30T22:23:17.779907
00030.png,0,20,20.0,20.0,1.2376273340334651,62.625,2025-06-30T22:27:30.740687
00031.png,0,20,20.0,20.0,1.173485278227947,-15.0625,2025-06-30T22:26:16.712900
00032.png,0,20,20.0,20.0,1.2157449969052012,62.75,2025-06-30T22:24:53.054362
00033.png,0,20,20.0,20.0,1.3110038450402142,121.5,2025-06-30T22:27:29.806854
00034.png,1,20,35.0,5.0,1.2192369881075715,14.270833333333314,2025-06-30T22:24:41.596483
00035.png,0,20,20.0,20.0,1.219751725071296,-69.66666666666666,2025-06-30T22:28:59.813733
00036.png,0,20,20.0,20.0,1.2998877120458054,24.625,2025-06-30T22:27:33.021697
00037.png,0,20,20.0,20.0,1.2156986341801532,143.625,2025-06-30T22:26:07.575186
00038.png,0,20,20.0,20.0,1.2369988116238868,32.5,2025-06-30T22:27:26.899606
00039.png,0,20,20.0,20.0,1.2160764768389374,-0.6875,2025-06-30T22:25:02.977734
00040.png,0,20,20.0,20.0,1.1647992761944257,-14.274999999999975,2025-06-30T22:25:53.263520
