img_path,steering,throttle,lwheel,rwheel,speed_signed,lane_offset,timestamp
00000.png,0,0,0.0,0.0,-1.1020460335815934e-05,-6.416666666666686,2025-06-30T22:23:15.204543
00001.png,0,0,0.0,0.0,-1.1042109004467757e-05,-6.416666666666686,2025-06-30T22:23:15.351271
00002.png,0,0,0.0,0.0,-1.1067730722049839e-05,-9.583333333333314,2025-06-30T22:23:15.510033
00003.png,0,0,0.0,0.0,-1.1091427951930055e-05,-9.583333333333314,2025-06-30T22:23:15.671763
00004.png,0,20,20.0,20.0,0.03296800039432256,-9.583333333333314,2025-06-30T22:23:15.817570
00005.png,0,20,20.0,20.0,0.16090082240859896,-12.375,2025-06-30T22:23:15.978978
00006.png,0,20,20.0,20.0,0.29130678100781665,-12.625,2025-06-30T22:23:16.137721
00007.png,0,20,20.0,20.0,0.43852834927199646,-10.375,2025-06-30T22:23:16.312467
00008.png,0,20,20.0,20.0,0.5863635794208,188.16666666666663,2025-06-30T22:23:16.471276
00009.png,0,20,20.0,20.0,0.7306296191120548,192.0,2025-06-30T22:23:16.633179
00010.png,0,20,20.0,20.0,0.8602099199193005,197.75,2025-06-30T22:23:16.792692
00011.png,0,20,20.0,20.0,0.9595557151022276,0.0,2025-06-30T22:23:16.939109
00012.png,0,20,20.0,20.0,1.0887473309693536,0.0,2025-06-30T22:23:17.111646
00013.png,0,20,20.0,20.0,1.181829641457726,0.0,2025-06-30T22:23:17.272369
00014.png,0,20,20.0,20.0,1.1912017724969972,-8.8125,2025-06-30T22:23:17.433604
00015.png,0,20,20.0,20.0,1.2017952530604954,-8.0625,2025-06-30T22:23:17.605247
00016.png,0,20,20.0,20.0,1.2056893391841956,-22.5,2025-06-30T22:23:17.779907
00017.png,0,20,20.0,20.0,1.2083675964248963,-27.625,2025-06-30T22:23:17.939210
00018.png,0,20,20.0,20.0,1.2124546732790427,-19.291666666666686,2025-06-30T22:23:18.099144
00019.png,0,20,20.0,20.0,1.2087434754034638,-18.5625,2025-06-30T22:23:18.259960
00020.png,0,20,20.0,20.0,1.2133804683601446,-5.077777777777783,2025-06-30T22:23:18.433815
00021.png,0,20,20.0,20.0,1.2171732972506895,-13.458333333333371,2025-06-30T22:23:18.605718
00022.png,0,20,20.0,20.0,1.2162237454074876,-15.506250000000023,2025-06-30T22:23:18.766388
00023.png,0,20,20.0,20.0,1.21220024522793,-19.272727272727252,2025-06-30T22:23:18.926419
00024.png,0,20,20.0,20.0,1.2174838230470593,-12.6340909090909,2025-06-30T22:23:19.086659
00025.png,0,20,20.0,20.0,1.2144987423433526,-23.52447552447552,2025-06-30T22:23:19.259936
00026.png,0,20,20.0,20.0,1.2137348428754817,-8.827651515151501,2025-06-30T22:23:19.432456
00027.png,0,20,20.0,20.0,1.216329664598733,-6.583333333333314,2025-06-30T22:23:19.606682
00028.png,0,20,20.0,20.0,1.2169182925296491,-8.353146853146825,2025-06-30T22:23:19.778972
00029.png,0,20,20.0,20.0,1.2173733067679828,-9.383333333333326,2025-06-30T22:23:19.952738
00030.png,0,20,20.0,20.0,1.2184384897848368,-9.506410256410277,2025-06-30T22:23:20.126445
00031.png,0,20,20.0,20.0,1.219362174147616,-26.977678571428555,2025-06-30T22:23:20.287648
00032.png,0,20,20.0,20.0,1.2174501173301322,-15.918803418803407,2025-06-30T22:23:20.461882
00033.png,0,20,20.0,20.0,1.2155553273977227,-16.57936507936506,2025-06-30T22:23:20.632590
00034.png,0,20,20.0,20.0,1.2171085517081275,-18.10714285714289,2025-06-30T22:23:20.807477
00035.png,0,20,20.0,20.0,1.218169152554694,-18.229166666666686,2025-06-30T22:23:20.980975
00036.png,0,20,20.0,20.0,1.2179778183218708,-18.86904761904765,2025-06-30T22:23:21.153483
00037.png,0,20,20.0,20.0,1.2175901494790444,-14.622596153846189,2025-06-30T22:23:21.313722
00038.png,0,20,20.0,20.0,1.2193950613864515,-24.72863247863245,2025-06-30T22:23:21.487682
00039.png,0,20,20.0,20.0,1.2150272524019636,-22.427083333333314,2025-06-30T22:23:21.660397
00040.png,0,20,20.0,20.0,1.216573142674872,-7.968181818181847,2025-06-30T22:23:21.847441
00041.png,0,20,20.0,20.0,1.2180914209494567,-12.771428571428544,2025-06-30T22:23:22.035548
00042.png,0,20,20.0,20.0,1.2120275737369013,-15.67692307692306,2025-06-30T22:23:22.220279
00043.png,0,20,20.0,20.0,1.2169690884144861,-13.232905982906004,2025-06-30T22:23:22.407771
00044.png,0,20,20.0,20.0,1.2169970605593827,-9.576388888888914,2025-06-30T22:23:22.593541
00045.png,0,20,20.0,20.0,1.2168554529083457,-12.141666666666652,2025-06-30T22:23:22.782811
00046.png,0,20,20.0,20.0,1.2185430111078395,-20.192424242424238,2025-06-30T22:23:22.967775
00047.png,0,20,20.0,20.0,1.2143808109728715,-10.395833333333371,2025-06-30T22:23:23.154598
00048.png,0,20,20.0,20.0,1.2164824656387512,-3.4905303030303116,2025-06-30T22:23:23.340411
00049.png,0,20,20.0,20.0,1.215743785807189,-7.648809523809518,2025-06-30T22:23:23.527698
00050.png,0,20,20.0,20.0,1.2179830381247296,-13.032670454545496,2025-06-30T22:23:23.701538
00051.png,0,20,20.0,20.0,1.215763167334204,-5.098484848484873,2025-06-30T22:23:23.874785
00052.png,0,20,20.0,20.0,1.2163027232540198,-1.073863636363626,2025-06-30T22:23:24.047637
