img_path,steering,throttle,lwheel,rwheel,speed_signed,lane_offset,timestamp
00000.png,0,20,20.0,20.0,1.2367531821491426,-12.75,2025-06-30T22:42:25.062994
00001.png,1,20,35.0,5.0,1.2290445460263262,106.25,2025-06-30T22:42:35.679424
00002.png,-1,20,5.0,35.0,1.2295632057192514,31.833333333333314,2025-06-30T22:42:28.305696
00003.png,0,20,20.0,20.0,1.2197346323868374,-34.958333333333314,2025-06-30T22:42:46.884465
00004.png,0,20,20.0,20.0,1.2187359736665098,-8.916666666666686,2025-06-30T22:42:12.378355
00005.png,0,20,20.0,20.0,1.2163584158212035,0.0,2025-06-30T22:42:19.115441
00006.png,0,20,20.0,20.0,1.2055225743629507,-28.54166666666669,2025-06-30T22:42:10.818426
00007.png,0,20,20.0,20.0,1.2230884191108011,-31.22916666666669,2025-06-30T22:42:30.797995
00008.png,0,20,20.0,20.0,1.2334071663090065,-20.9375,2025-06-30T22:42:25.530290
00009.png,0,20,20.0,20.0,1.384013230339427,33.708333333333314,2025-06-30T22:42:43.060846
00010.png,0,20,20.0,20.0,1.2058019993929925,-41.0625,2025-06-30T22:42:32.758820
00011.png,0,0,0.0,0.0,1.0489689095858674,6.533333333333303,2025-06-30T22:42:50.832060
00012.png,0,20,20.0,20.0,1.2215712665063334,-9.854166666666686,2025-06-30T22:42:21.941655
00013.png,0,20,20.0,20.0,1.1985257572689376,-37.041666666666686,2025-06-30T22:42:29.399385
00014.png,0,20,20.0,20.0,1.2224627521619484,-38.41666666666663,2025-06-30T22:42:28.625392
00015.png,0,20,20.0,20.0,1.2018590479577669,-8.1875,2025-06-30T22:42:10.485284
00016.png,0,20,20.0,20.0,1.3965147818738095,132.0,2025-06-30T22:42:42.910021
00017.png,1,20,35.0,5.0,1.2478321578852352,92.0,2025-06-30T22:42:20.353814
00018.png,0,20,20.0,20.0,1.2247887702692737,-9.0,2025-06-30T22:42:37.654267
00019.png,0,20,20.0,20.0,1.218405507438461,-22.507142857142867,2025-06-30T22:42:15.019294
00020.png,0,20,20.0,20.0,1.2631053129991745,0.5833333333333712,2025-06-30T22:42:40.231084
00021.png,0,20,20.0,20.0,1.1957910684946196,-42.125,2025-06-30T22:42:29.077586
00022.png,1,20,35.0,5.0,1.3331862996514288,-32.125,2025-06-30T22:42:45.058167
00023.png,0,20,20.0,20.0,1.2787395428372594,14.199999999999989,2025-06-30T22:42:36.133384
00024.png,0,20,20.0,20.0,1.217403873709601,-30.875,2025-06-30T22:42:32.011701
00025.png,0,20,20.0,20.0,1.2173209579482636,-15.5,2025-06-30T22:42:23.342748
00026.png,0,20,20.0,20.0,1.2175068296447198,14.833333333333314,2025-06-30T22:42:18.341742
00027.png,0,20,20.0,20.0,1.1889580032808764,-23.66666666666669,2025-06-30T22:42:23.650565
00028.png,0,20,20.0,20.0,1.3075055451756838,2.7666666666667084,2025-06-30T22:42:36.747623
00029.png,1,20,35.0,5.0,1.255321684910429,1.1875,2025-06-30T22:42:39.774050
00030.png,1,20,35.0,5.0,1.229961173442322,139.66666666666663,2025-06-30T22:42:48.086054
00031.png,0,20,20.0,20.0,1.228676425820794,42.6875,2025-06-30T22:42:49.299151
00032.png,0,20,20.0,20.0,1.224570047718687,100.75,2025-06-30T22:42:35.533161
00033.png,0,20,20.0,20.0,1.237282119548605,-15.5,2025-06-30T22:42:25.691392
00034.png,0,20,20.0,20.0,1.1816661810721172,0.0,2025-06-30T22:42:33.506577
00035.png,1,20,35.0,5.0,1.3969448424852529,128.875,2025-06-30T22:42:42.471377
00036.png,0,20,20.0,20.0,1.242442051448647,99.25,2025-06-30T22:42:20.514993
